from	from_gene	to	to_gene	combined_score
9606.ENSP00000001146	CYP26B1	9606.ENSP00000003084	CFTR	427
9606.ENSP00000001146	CYP26B1	9606.ENSP00000003084	CFTR	427
9606.ENSP00000003084	CFTR	9606.ENSP00000011292	CPA1	519
9606.ENSP00000003084	CFTR	9606.ENSP00000011292	CPA1	519
9606.ENSP00000027335	CDH17	9606.ENSP00000035383	LRRC7	463
9606.ENSP00000027335	CDH17	9606.ENSP00000035383	LRRC7	463
9606.ENSP00000005995	PRSS21	9606.ENSP00000046087	ZPBP	471
9606.ENSP00000005995	PRSS21	9606.ENSP00000046087	ZPBP	471
9606.ENSP00000009530	CD74	9606.ENSP00000046794	LCP2	408
9606.ENSP00000009530	CD74	9606.ENSP00000046794	LCP2	408
9606.ENSP00000003084	CFTR	9606.ENSP00000155840	KCNQ1	642
9606.ENSP00000003084	CFTR	9606.ENSP00000155840	KCNQ1	642
9606.ENSP00000172229	NGFR	9606.ENSP00000180166	FGF20	629
9606.ENSP00000172229	NGFR	9606.ENSP00000180166	FGF20	629
9606.ENSP00000155840	KCNQ1	9606.ENSP00000182290	TSPAN32	537
9606.ENSP00000155840	KCNQ1	9606.ENSP00000182290	TSPAN32	537
9606.ENSP00000003084	CFTR	9606.ENSP00000185206	CLIC5	572
9606.ENSP00000003084	CFTR	9606.ENSP00000185206	CLIC5	572
9606.ENSP00000003084	CFTR	9606.ENSP00000199280	AQP2	492
9606.ENSP00000003084	CFTR	9606.ENSP00000199280	AQP2	492
9606.ENSP00000064571	CBLN4	9606.ENSP00000200691	MT3	414
9606.ENSP00000064571	CBLN4	9606.ENSP00000200691	MT3	414
9606.ENSP00000177694	TBX21	9606.ENSP00000203629	LAG3	691
9606.ENSP00000177694	TBX21	9606.ENSP00000203629	LAG3	691
9606.ENSP00000200676	CETP	9606.ENSP00000205948	APOH	802
9606.ENSP00000200676	CETP	9606.ENSP00000205948	APOH	802
9606.ENSP00000052754	DCN	9606.ENSP00000212355	TGFBR3	514
9606.ENSP00000052754	DCN	9606.ENSP00000212355	TGFBR3	514
9606.ENSP00000180166	FGF20	9606.ENSP00000215095	STX1B	484
9606.ENSP00000180166	FGF20	9606.ENSP00000215095	STX1B	484
9606.ENSP00000199280	AQP2	9606.ENSP00000215095	STX1B	470
9606.ENSP00000199280	AQP2	9606.ENSP00000215095	STX1B	470
9606.ENSP00000166345	TRIP13	9606.ENSP00000215980	CENPM	759
9606.ENSP00000166345	TRIP13	9606.ENSP00000215980	CENPM	759
